Date,Temp_max(c),Temp_avg(c),Temp_min(c),Dew_max(c),Dew_avg(c),Dew_min(c),Hum_max(%),Hum_avg(%),Hum_min(%),Wind_max(mph),Wind_avg(mph),Wind_min(mph),Pres_max(in),Pres_avg(in),Pres_min(in),Precipitation
1/01/2001,32.8,28.7,25,23.9,23.4,22.8,94,74.5,55,8,2.5,1,29.7,29.7,29.6,0
2/01/2001,31.1,24.8,-17.8,25,21.4,-17.8,94,78.4,0,8,2.7,0,29.8,29.7,29.5,0
3/01/2001,30,26.8,25,25,23.9,22.8,100,85.1,66,9,3.2,0,29.8,29.7,29.7,0
4/01/2001,28.9,26,22.8,23.9,23.2,22.2,100,85.9,66,10,3.9,1,29.8,29.7,29.7,0
5/01/2001,32.2,27.3,23.9,23.9,21.8,20,89,72.3,55,8,2,0,29.8,29.7,29.6,0
6/01/2001,32.8,28.2,23.9,25,23.3,22.2,94,76.5,52,8,2.8,1,29.8,29.7,29.6,0
7/01/2001,32.8,27,23.9,23.9,23.1,22.2,94,80.8,52,9,3,0,29.8,29.7,29.6,0
8/01/2001,32.8,27.5,23.9,22.8,22.6,21.1,94,76.8,52,10,4.5,0,29.7,29.7,29.6,0
9/01/2001,33.9,24.9,-17.8,23.9,21.1,-17.8,94,77.2,0,15,4.3,0,29.8,29.7,29.6,0
10/01/2001,32.2,25.9,23.9,23.9,23,22.2,94,85.5,62,14,3.4,0,29.8,29.7,29.7,0
11/01/2001,31.1,24.2,-17.8,22.8,20.5,-17.8,100,76.2,0,15,6,0,29.8,29.7,29.6,0
12/01/2001,32.2,26.3,22.8,23.9,22.9,22.2,100,84,59,9,4.2,0,29.8,29.7,29.6,0
13/01/2001,32.2,26.3,23.9,25,23.5,22.8,94,86.3,59,8,3,0,29.8,29.7,29.6,0
14/01/2001,32.2,21.2,-17.8,23.9,17.4,-17.8,100,68.2,0,10,5.6,1,29.8,29.7,29.6,0
15/01/2001,33.9,27.4,23.9,23.9,23.2,21.1,94,79.8,46,8,3.3,0,29.8,28.5,0,0
16/01/2001,28.9,26.7,25,23.9,22.8,21.1,94,80.6,62,3,1.5,0,29.8,29.7,29.7,0
17/01/2001,27.8,26.1,23.9,23.9,23.4,22.8,94,86.3,79,8,3.4,0,29.8,29.7,29.7,0
18/01/2001,32.2,25.6,-17.8,25,21.6,-17.8,94,76,0,12,3.5,0,29.8,28.4,0,0
19/01/2001,32.2,27.2,25,25,24.1,22.8,94,84.8,59,6,2.6,0,29.8,29.7,29.6,0
20/01/2001,32.2,26.3,25,25,23.4,22.8,100,85.7,62,14,3.7,0,29.8,29.7,29.6,0
21/01/2001,33.9,28.3,23.9,25,23.8,22.2,100,78.9,49,10,3.4,0,29.7,29.7,29.6,0
22/01/2001,32.8,28.1,23.9,25,23.6,22.2,94,78.4,55,14,5.4,1,29.7,29.7,29.6,0
23/01/2001,33.9,25.3,-17.8,26.1,22.2,-17.8,100,80.6,0,12,3.6,0,29.7,29.7,29.6,0
24/01/2001,32.8,27.5,25,25,24.3,23.9,94,84.4,59,9,3.4,0,29.7,28.4,0,0
25/01/2001,32.8,26.7,25,25,24.3,23.9,100,88.6,59,12,2.4,0,29.7,29.7,29.6,0
26/01/2001,33.9,25.3,-17.8,26.1,22.1,-17.8,100,80.5,0,13,3,0,29.7,29.7,29.6,0
27/01/2001,30,26.3,23.9,25,24.1,22.8,100,88.3,70,13,3.8,0,29.8,29.7,29.6,0
28/01/2001,32.2,26.5,23.9,25,23.7,22.8,94,86,62,13,3.2,1,29.8,29.7,29.6,0
29/01/2001,32.8,26.9,23.9,23.9,23,22.2,94,81,52,13,3,0,29.8,29.7,29.6,0
30/01/2001,31.1,26.7,23.9,25,22.8,21.1,94,80.4,55,18,4.2,0,29.8,29.7,29.6,0
31/01/2001,28.9,25.9,23.9,23.9,22.8,21.1,100,84.3,62,7,2.5,0,29.8,29.7,29.7,0
1/02/2001,32.2,29.1,23.9,25,22.1,20,89,67,52,7,3.9,1,29.7,29.7,29.6,0
2/02/2001,32.2,27.4,25,23.9,23.1,22.2,94,79.5,55,10,3.5,0,29.7,29.7,29.6,0
3/02/2001,27.8,25.9,25,23.9,23.5,22.8,94,87.7,74,9,3.6,1,29.8,29.7,29.6,0
4/02/2001,33.9,25.4,-17.8,25,21.4,-17.8,94,76.5,0,10,3.3,0,29.8,29.7,29.6,0
5/02/2001,32.8,26.7,23.9,23.9,23.4,22.2,94,84.4,55,15,3.1,0,29.7,29.7,29.6,0
6/02/2001,32.2,22.6,-17.8,23.9,19.4,-17.8,100,75.1,0,9,2.7,0,29.7,26.8,0,0
7/02/2001,32.8,27.9,23.9,25,23.7,22.8,94,79.5,59,12,3.6,0,29.7,28.3,0,0
8/02/2001,32.2,26.6,23.9,23.9,23.1,22.2,94,83.3,55,10,3.3,0,29.7,29.7,29.6,0
9/02/2001,32.2,26.2,23.9,23.9,22.9,22.2,94,84,58,10,2.4,0,29.8,29.7,29.6,0
10/02/2001,31.1,27.1,23.9,23.9,23.1,22.2,100,80.2,62,8,3,0,29.8,29.7,29.6,0
11/02/2001,32.8,27.2,23.9,23.9,22.7,21.1,89,77.5,49,13,3.6,0,29.7,29.7,29.6,0
12/02/2001,31.1,27.3,25,25,24,22.8,94,83.4,66,6,1.8,0,29.8,29.7,29.6,0
13/02/2001,32.2,27.3,25,25,23.4,22.2,94,81.3,58,9,3.1,0,29.8,29.7,29.6,0
14/02/2001,32.8,26.8,25,25,23.3,22.2,94,83.1,52,9,3.7,1,29.8,29.7,29.7,0
15/02/2001,33.9,28.1,23.9,23.9,22.7,21.1,94,74.7,46,9,3.6,0,29.8,29.7,29.6,0
16/02/2001,33.9,28,23.9,23.9,22.8,21.1,94,75.3,49,15,2.5,0,29.9,29.8,29.7,0
17/02/2001,32.2,27.1,23.9,23.9,22.9,21.1,94,80,58,10,2.5,0,29.8,29.8,29.7,0
18/02/2001,31.1,26.9,23.9,23.9,23.3,22.2,94,81.5,62,9,3.9,0,29.8,29.8,29.7,0
19/02/2001,30,26.8,25,25,23.8,22.2,94,84.9,62,5,2.2,0,29.9,29.8,29.7,0
20/02/2001,31.1,25,-17.8,23.9,21.5,-17.8,94,78.1,0,12,3.7,0,29.8,28.4,0,0
21/02/2001,31.1,27.2,21.1,25,23.9,22.8,94,78.6,0,9,3.6,0,29.8,29.7,29.6,0
22/02/2001,31.1,27.6,25,25,24.4,22.8,94,83.7,66,10,2.8,0,29.8,29.7,29.6,0
23/02/2001,32.2,28,25,25,23.9,22.8,94,80.2,59,9,2.7,0,29.8,29.7,29.7,0
24/02/2001,32.8,26.1,-17.8,25,21.9,-17.8,94,75.3,0,12,4.2,0,29.8,28.3,0,0
25/02/2001,32.8,27.9,25,26.1,24.1,22.8,100,81.5,62,13,3.9,0,29.8,29.7,29.6,0
26/02/2001,32.8,27.3,23.9,25,23.6,22.8,94,82.1,55,12,3.3,0,29.8,29.7,29.6,0
27/02/2001,32.2,27.7,23.9,25,23.8,22.2,94,80.8,58,10,3.3,0,29.9,29.8,29.7,0
28/02/2001,33.9,28.5,23.9,25,23.3,21.1,94,76.2,46,9,2.8,0,29.9,29.8,29.7,0
1/03/2001,33.9,29.1,25,25,22.1,17.8,94,69.5,38,13,3.8,0,29.9,29.8,29.7,0
2/03/2001,35,29.1,23.9,25,22,18.9,89,68.4,39,10,4,0,29.9,28.4,0,0
3/03/2001,33.9,27.9,25,26.1,23.8,21.1,94,80.5,46,13,3.7,0,29.8,29.8,29.7,0
4/03/2001,35,23.3,-17.8,25,18.9,-17.8,94,69,0,20,4.6,0,29.8,28.3,0,0
5/03/2001,32.2,27.7,25,23.9,23.1,22.2,94,78,55,7,2.3,0,29.8,29.7,29.7,0
6/03/2001,31.1,27.4,23.9,23.9,22.9,22.2,94,78.6,62,5,0.8,0,29.8,29.7,29.7,0
7/03/2001,32.8,27.8,26.1,25,24,22.2,89,82,52,9,1.1,0,29.8,29.7,29.6,0
8/03/2001,28.9,26.3,23.9,25,24,22.8,100,87.9,70,3,0.7,0,29.8,29.7,29.6,0
9/03/2001,33.9,28.9,25,25,23.3,21.1,94,73.9,46,8,2,0,29.8,29.7,29.6,0
10/03/2001,32.8,29.1,25,25,23.8,22.2,94,74.9,52,8,1.2,0,29.8,29.7,29.6,0
11/03/2001,32.8,28.4,26.1,25,24.4,22.8,94,80.5,59,8,1,0,29.8,29.7,29.6,0
12/03/2001,33.9,29.8,26.1,25,23.5,22.2,89,70.9,52,7,1.6,0,29.8,29.7,29.6,0
13/03/2001,33.9,28.7,26.1,25,23.1,22.2,84,73,52,8,1.6,0,29.8,29.7,29.6,0
14/03/2001,33.9,29.2,25,25,24,22.8,89,75,55,6,0.6,0,29.8,29.7,29.7,0
15/03/2001,35,29.2,25,25,23.9,22.2,94,75,49,9,2,0,29.8,29.7,29.6,0
16/03/2001,35,29.2,27.2,23.9,23.4,22.2,84,72.6,49,16,8,2,29.8,29.7,29.6,0
17/03/2001,33.9,29,25,25,23.7,22.2,94,74.5,52,13,5.8,1,29.8,29.7,29.6,0
18/03/2001,32.8,28,25,25,23.6,22.8,89,78.4,55,12,5.1,1,29.8,29.7,29.6,0
19/03/2001,33.9,28.3,25,26.1,23.7,22.2,94,77.3,49,23,7,1,29.7,29.7,29.6,0
20/03/2001,33.9,28.7,25,25,22.9,21.1,89,73.2,49,17,8,1,29.7,29.7,29.6,0
21/03/2001,33.9,29,25,23.9,22.8,21.1,89,70.9,46,12,3.9,0,29.7,29.6,29.6,0
22/03/2001,32.8,29.3,26.1,25,23.4,22.2,89,72.5,52,9,3.3,0,29.7,29.6,29.6,0
23/03/2001,32.8,29.3,26.1,23.9,22.8,21.1,83,68.4,52,10,6,1,29.7,29.6,29.6,0
24/03/2001,32.8,28.2,23.9,25,23.5,22.2,100,77.3,52,23,6.3,1,29.7,29.7,29.6,0
25/03/2001,32.8,28.1,23.9,25,23.8,22.8,94,79.7,59,15,5.3,1,29.8,29.7,29.6,0
26/03/2001,32.8,28.6,26.1,25,24.3,22.8,94,79.3,59,10,4.4,0,29.7,29.6,29.6,0
27/03/2001,33.9,29.6,25,25,23.7,22.2,94,72.4,49,13,4.3,0,29.7,29.6,29.6,0
28/03/2001,33.9,28,22.8,25,23.4,22.2,94,77.2,55,12,5.2,1,29.7,29.7,29.6,0
29/03/2001,33.9,29.1,26.1,25,24,22.8,94,75.2,55,13,7.3,0,29.7,29.6,29.6,0
30/03/2001,33.9,29.6,26.1,25,24.3,22.8,89,74.8,59,15,8.4,2,29.7,29.7,29.6,0
31/03/2001,32.8,27.9,25,26.1,24.5,22.8,94,83.2,55,12,3.7,1,29.8,29.7,29.7,0
1/04/2001,35,28.2,23.9,25,23.3,22.2,94,77.7,47,15,4.6,1,29.8,29.7,29.6,0
2/04/2001,35,28.9,26.1,27.2,25.2,23.9,94,82.4,53,14,3.6,0,29.7,29.6,29.6,0
3/04/2001,31.1,26.8,22.8,26.1,23.8,22.2,100,84.8,66,18,7,0,29.8,29.7,29.6,0
4/04/2001,32.8,26.8,23.9,26.1,23.6,22.2,100,84.5,59,8,4.4,1,29.8,28.3,0,0
5/04/2001,32.8,26.8,25,25,24.3,23.9,94,87.6,59,17,3.2,0,29.8,29.7,29.6,0
6/04/2001,31.1,27.3,25,26.1,24.5,23.9,100,85.7,66,16,3.1,0,29.8,29.7,29.6,0
7/04/2001,32.8,28.3,26.1,25,24.3,22.8,94,81,55,10,4.4,0,29.8,29.7,29.6,0
8/04/2001,33.9,28.3,25,27.2,24.5,22.8,94,81.6,56,8,3.6,0,29.8,29.7,29.6,0
9/04/2001,32.8,27.9,23.9,26.1,24,22.8,94,80.9,55,16,5.8,1,29.7,29.7,29.6,0
10/04/2001,32.8,27.6,25,26.1,23.8,22.8,94,81.2,62,12,5,1,29.8,29.7,29.7,0
11/04/2001,32.2,27.4,25,25,24.1,23.9,94,84,66,13,4,0,29.8,29.7,29.7,0
12/04/2001,32.8,27.2,23.9,26.1,24.4,22.8,94,86.1,63,13,5,0,29.8,29.7,29.6,0
13/04/2001,31.1,26.4,22.8,25,24,22.2,100,87.4,66,12,3.3,0,29.8,28.4,0,0
14/04/2001,32.8,27.7,22.8,25,23,22.2,94,77.4,52,13,4.2,0,29.8,29.8,29.7,0
15/04/2001,35,28.5,25,26.1,24.2,22.8,94,80.2,49,10,3.8,1,29.8,29.8,29.7,0
16/04/2001,33.9,26.7,-17.8,26.1,22.7,-17.8,94,75.8,0,9,3.6,0,29.8,29.7,29.6,0
17/04/2001,32.2,28.7,26.1,25,24.4,22.8,94,79.1,62,14,5.2,1,29.8,29.7,29.6,0
18/04/2001,33.9,29.1,25,25,24.6,23.9,94,77.8,59,13,4.3,0,29.7,29.7,29.6,0
19/04/2001,33.9,26,-17.8,25,22.2,-17.8,94,77.1,0,14,4.6,1,29.7,29.7,29.6,0
20/04/2001,32.2,27.6,25,26.1,24.7,23.9,94,85,66,12,4.1,0,29.7,29.6,29.6,0
21/04/2001,33.9,28.8,25,26.1,24.6,23.9,94,79.3,56,13,4.1,0,29.7,29.6,29.5,0
22/04/2001,32.2,28.2,25,26.1,24.9,22.8,94,83.2,62,8,3.1,1,29.7,29.6,29.6,0
23/04/2001,31.1,28,26.1,25,24.3,22.8,94,81,62,9,4,0,29.7,29.6,29.6,0
24/04/2001,33.9,27.8,25,25,24.4,22.8,94,83.9,56,15,3.4,1,29.7,29.7,29.6,0
