Date,Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Pres_max,Pres_avg,Pres_min,Precipitation
01/02/2024,33.9,28.0,23.9,26.1,24.3,22.2,94,81.7,52,15,3.9,0,29.9,29.8,29.8,0.0
02/02/2024,33.9,27.8,25.0,26.1,24.9,23.9,94,85.6,59,15,2.9,0,29.9,29.8,29.7,0.0
03/02/2024,32.2,28.0,26.1,27.2,25.0,23.9,94,84.6,62,8,3.0,0,29.9,29.8,29.8,0.0
04/02/2024,33.9,29.1,26.1,26.1,24.7,22.8,94,79.0,52,10,3.0,0,29.9,29.8,29.7,0.0
05/02/2024,33.9,29.1,27.2,26.1,24.8,22.8,89,78.9,56,14,4.4,0,29.9,29.8,29.7,0.0
06/02/2024,35.0,29.4,26.1,26.1,24.4,22.2,94,76.2,52,10,3.8,0,29.9,29.8,29.7,0.0
07/02/2024,33.9,29.3,26.1,25.0,24.2,22.8,89,75.6,52,13,3.8,0,29.9,29.8,29.7,0.0
08/02/2024,33.9,28.9,26.1,26.1,24.7,22.8,94,79.0,52,8,3.0,0,29.8,29.8,29.7,0.0
09/02/2024,35.0,29.3,27.2,27.2,25.3,23.9,89,80.0,53,10,2.7,0,29.9,29.8,29.7,0.0
10/02/2024,33.9,29.2,25.0,26.1,22.9,20.0,89,70.3,46,10,4.3,0,29.9,29.8,29.8,0.0
11/02/2024,32.8,28.6,23.9,25.0,21.7,20.0,89,68.0,46,10,3.6,0,29.9,29.9,29.8,0.0
12/02/2024,33.9,29.2,25.0,25.0,22.3,21.1,89,67.3,46,8,3.8,0,29.9,29.8,29.7,0.0
13/02/2024,35.0,28.9,25.0,25.0,23.7,21.1,94,76.1,47,10,3.1,0,29.9,29.8,29.7,0.0
14/02/2024,32.2,28.6,25.0,25.0,23.6,22.2,94,77.3,55,8,3.2,0,29.8,29.8,29.7,0.0
15/02/2024,32.8,29.0,26.1,25.0,23.6,22.2,89,74.1,52,10,2.9,0,29.8,29.8,29.7,0.0
16/02/2024,35.0,28.7,25.0,26.1,23.9,20.0,100,78.3,41,10,4.2,0,29.8,29.8,29.7,0.0
